RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVGâ–¼	OBP	SLG	OPS
1	Anderson, T	CWS	SS	123	498	81	167	32	0	18	56	15	109	17	5	0.335	0.357	0.508	0.865
2	Yelich, C	MIL	RF	130	489	100	161	29	3	44	97	80	118	30	2	0.329	0.429	0.671	1.1
3	Marte, K	ARI	CF	144	569	97	187	36	9	32	92	53	86	10	2	0.329	0.389	0.592	0.981
4	LeMahieu, D	NYY	2B	145	602	109	197	33	2	26	102	46	90	5	2	0.327	0.375	0.518	0.893
5	Rendon, A	WSH	3B	146	545	117	174	44	3	34	126	80	86	5	1	0.319	0.412	0.598	1.01
6	McNeil, J	NYM	LF	133	510	83	162	38	1	23	75	35	75	5	6	0.318	0.384	0.531	0.916
7	Moncada, Y	CWS	3B	132	511	83	161	34	5	25	79	40	154	10	3	0.315	0.367	0.548	0.915
8	Arenado, N	COL	3B	155	588	102	185	31	2	41	118	62	93	3	2	0.315	0.379	0.583	0.962
9	Blackmon, C	COL	RF	140	580	112	182	42	7	32	86	40	104	2	5	0.314	0.364	0.576	0.94
10	Reynolds, B	PIT	LF	134	491	83	154	37	4	16	68	46	121	3	2	0.314	0.377	0.503	0.88
11	Brantley, M	HOU	LF	148	575	88	179	40	2	22	90	51	66	3	2	0.311	0.372	0.503	0.875
12	Devers, R	BOS	3B	156	647	129	201	54	4	32	115	48	119	8	8	0.311	0.361	0.555	0.916
13	Cruz, N	MIN	DH	120	454	81	141	26	0	41	108	56	131	0	1	0.311	0.392	0.639	1.031
14	Bogaerts, X	BOS	SS	155	614	110	190	52	0	33	117	76	122	4	2	0.309	0.384	0.555	0.939
15	Newman, K	PIT	SS	130	493	61	152	20	6	12	64	28	62	16	8	0.308	0.353	0.446	0.8
16	Alberto, H	BAL	2B	139	524	62	160	21	2	12	51	16	50	4	4	0.305	0.329	0.422	0.751
17	Bellinger, C	LAD	RF	156	558	121	170	34	3	47	115	95	108	15	5	0.305	0.406	0.629	1.035
18	Martinez, J	BOS	LF	146	575	98	175	33	2	36	105	72	138	2	0	0.304	0.383	0.557	0.939
19	Merrifield, W	KC	2B	162	681	105	206	41	10	16	74	45	126	20	10	0.302	0.348	0.463	0.811
20	Altuve, J	HOU	2B	124	500	89	149	27	3	31	74	41	82	6	5	0.298	0.353	0.55	0.903
21	Gurriel, Y	HOU	1B	144	564	85	168	40	2	31	104	37	65	5	3	0.298	0.343	0.541	0.884
22	Turner, T	WSH	SS	122	521	96	155	37	5	19	57	43	113	35	5	0.298	0.353	0.497	0.85
23	Bregman, A	HOU	3B	156	554	122	164	37	2	41	112	119	83	5	1	0.296	0.423	0.592	1.015
24	Albies, O	ATL	2B	160	640	102	189	43	8	24	86	54	112	15	4	0.295	0.352	0.5	0.852
25	Marte, S	PIT	CF	132	539	97	159	31	6	23	82	25	94	25	6	0.295	0.342	0.503	0.845
26	Betts, M	BOS	RF	150	597	135	176	40	5	29	80	97	101	16	3	0.295	0.391	0.524	0.915
26	Freeman, F	ATL	1B	158	597	113	176	34	2	38	121	87	127	6	3	0.295	0.389	0.549	0.938
28	Polanco, J	MIN	SS	153	631	107	186	40	7	22	79	60	116	4	3	0.295	0.356	0.485	0.841
29	Story, T	COL	SS	145	588	111	173	38	5	35	85	58	174	23	8	0.294	0.363	0.554	0.917
30	Rizzo, A	CHC	1B	146	512	89	150	29	3	27	94	71	86	5	2	0.293	0.405	0.52	0.924
31	Springer, G	HOU	RF	122	479	96	140	20	3	39	96	67	113	6	2	0.292	0.383	0.591	0.974
32	Trout, M	LAA	CF	134	470	110	137	27	2	45	104	110	120	11	2	0.291	0.438	0.645	1.083
33	Mancini, T	BAL	RF	154	602	106	175	38	2	35	97	63	143	1	0	0.291	0.364	0.535	0.899
34	Meadows, A	TB	RF	138	530	83	154	29	7	33	89	54	131	12	7	0.291	0.364	0.558	0.922
35	Fletcher, D	LAA	3B	154	596	83	173	30	4	6	49	55	64	8	3	0.29	0.35	0.384	0.734
36	Turner, J	LAD	3B	135	479	80	139	24	0	27	67	51	88	2	0	0.29	0.372	0.509	0.881
37	Castellanos, N	CHC	RF	151	615	100	178	58	3	27	73	41	143	2	2	0.289	0.337	0.525	0.863
38	Iglesias, J	CIN	SS	146	504	62	145	21	3	11	59	20	70	6	6	0.288	0.318	0.407	0.724
39	Ramos, W	NYM	C	141	473	52	136	19	0	14	73	44	69	1	0	0.288	0.351	0.416	0.768
40	Rosario, A	NYM	SS	157	616	75	177	30	7	15	72	31	124	19	10	0.287	0.323	0.432	0.755
41	Braun, R	MIL	LF	144	459	70	131	31	2	22	75	34	105	11	1	0.285	0.343	0.505	0.849
42	Semien, M	OAK	SS	162	657	123	187	43	7	33	92	87	102	10	8	0.285	0.369	0.522	0.892
43	Wong, K	STL	2B	148	478	61	136	25	4	11	59	47	83	24	4	0.285	0.361	0.423	0.784
44	Lindor, F	CLE	SS	143	598	101	170	40	2	32	74	46	98	22	5	0.284	0.335	0.518	0.854
45	Abreu, J	CWS	1B	159	634	85	180	38	1	33	123	36	152	2	2	0.284	0.33	0.503	0.834
46	Rojas, M	MIA	SS	132	483	52	137	29	1	5	46	32	62	9	5	0.284	0.331	0.379	0.71
47	Santana, D	TEX	OF	130	474	81	134	23	6	28	81	25	151	21	6	0.283	0.324	0.534	0.857
48	Soto, J	WSH	LF	150	542	110	153	32	5	34	110	108	132	12	1	0.282	0.401	0.548	0.949
49	Garcia, A	TB	RF	125	489	61	138	25	2	20	72	31	125	10	4	0.282	0.332	0.464	0.796
50	Cabrera, M	DET	1B	136	493	41	139	21	0	12	59	48	108	0	0	0.282	0.346	0.398	0.744
51	Bryant, K	CHC	3B	147	543	108	153	35	1	31	77	74	145	4	0	0.282	0.382	0.521	0.903
52	Santana, C	CLE	1B	158	573	110	161	30	1	34	93	108	108	4	0	0.281	0.397	0.515	0.911
53	Baez, J	CHC	SS	138	531	89	149	38	4	29	85	28	156	11	7	0.281	0.316	0.531	0.847
54	Acuna Jr., R	ATL	LF	156	626	127	175	22	2	41	101	76	188	37	9	0.28	0.365	0.518	0.883
55	Segura, J	PHI	SS	144	576	79	161	37	4	12	60	30	73	10	2	0.28	0.323	0.42	0.743
56	Hernandez, C	PHI	2B	161	612	77	171	31	3	14	71	45	100	9	2	0.279	0.333	0.408	0.741
57	Dozier, H	KC	3B	139	523	75	146	29	10	26	84	55	148	2	2	0.279	0.348	0.522	0.87
58	Eaton, A	WSH	RF	151	566	103	158	25	7	15	49	65	106	15	3	0.279	0.365	0.428	0.792
59	Garcia, L	CWS	CF	140	577	93	161	27	3	8	40	21	139	15	5	0.279	0.31	0.378	0.688
60	Torres, G	NYY	SS	144	546	96	152	26	0	38	90	48	129	5	2	0.278	0.337	0.535	0.871
61	Frazier, A	PIT	2B	152	554	80	154	33	7	10	50	40	75	5	5	0.278	0.336	0.417	0.753
62	Bell, J	PIT	1B	143	527	94	146	37	3	37	116	74	118	0	1	0.277	0.367	0.569	0.936
63	Moran, C	PIT	3B	149	466	46	129	30	1	13	80	30	117	0	1	0.277	0.322	0.429	0.751
64	Vazquez, C	BOS	C	138	482	66	133	26	1	23	72	33	101	4	2	0.276	0.32	0.477	0.798
65	Rosario, E	MIN	LF	137	562	91	155	28	1	32	109	22	86	3	1	0.276	0.3	0.5	0.8
66	Reddick, J	HOU	RF	141	501	57	138	19	3	14	56	36	66	5	2	0.275	0.319	0.409	0.728
67	Realmuto, J	PHI	C	145	538	92	148	36	3	25	83	41	123	9	1	0.275	0.328	0.493	0.82
68	Andrus, E	TEX	SS	147	600	81	165	27	4	12	72	34	96	31	8	0.275	0.313	0.393	0.707
69	Villar, J	BAL	2B	162	642	111	176	33	5	24	73	61	176	40	9	0.274	0.339	0.453	0.792
70	Pham, T	TB	LF	145	567	77	155	33	2	21	68	81	123	25	4	0.273	0.369	0.45	0.818
71	Seager, C	LAD	SS	134	489	82	133	44	1	19	87	44	98	1	0	0.272	0.335	0.483	0.817
72	Guerrero Jr., V	TOR	3B	123	464	52	126	26	2	15	69	46	91	0	1	0.272	0.339	0.433	0.772
73	Suarez, E	CIN	3B	159	575	87	156	22	2	49	103	70	189	3	2	0.271	0.358	0.572	0.93
74	Castro, S	MIA	2B	162	636	68	172	31	4	22	86	28	111	2	2	0.27	0.3	0.436	0.736
75	Escobar, E	ARI	3B	158	636	94	171	29	10	35	118	50	130	5	1	0.269	0.32	0.511	0.831
76	Jimenez, E	CWS	LF	122	468	69	125	18	2	31	79	30	134	0	0	0.267	0.315	0.513	0.828
77	Olson, M	OAK	1B	127	483	73	129	26	0	36	91	51	138	0	0	0.267	0.351	0.545	0.896
78	Puig, Y	CLE	RF	149	555	76	148	30	2	24	84	44	133	19	7	0.267	0.327	0.458	0.785
79	Gordon, A	KC	LF	150	556	77	148	31	1	13	76	51	100	5	3	0.266	0.345	0.396	0.741
80	Benintendi, A	BOS	LF	138	541	72	144	40	5	13	68	59	140	10	3	0.266	0.343	0.431	0.774
81	Hosmer, E	SD	1B	160	619	72	164	29	2	22	99	40	163	0	3	0.265	0.31	0.425	0.735
82	Soler, J	KC	RF	162	589	95	156	33	1	48	117	73	178	3	1	0.265	0.354	0.569	0.922
83	Choo, S	TEX	LF	151	563	93	149	31	2	24	61	78	165	15	1	0.265	0.371	0.455	0.826
84	Voit, L	NYY	1B	118	429	72	113	21	1	21	62	71	142	0	0	0.263	0.378	0.464	0.842
85	Anderson, B	MIA	3B	126	459	57	120	33	1	20	66	44	114	5	1	0.261	0.342	0.468	0.811
86	Votto, J	CIN	1B	142	525	79	137	32	1	15	47	76	123	5	0	0.261	0.357	0.411	0.768
87	Galvis, F	CIN	SS	147	557	67	145	28	1	23	70	28	145	4	2	0.26	0.296	0.438	0.734
88	Harper, B	PHI	RF	157	573	98	149	36	1	35	114	99	178	15	3	0.26	0.372	0.51	0.882
89	Jones, A	ARI	RF	137	485	66	126	25	1	16	67	31	101	2	1	0.26	0.313	0.414	0.728
90	Cain, L	MIL	CF	148	562	75	146	30	0	11	48	50	106	18	8	0.26	0.325	0.372	0.697
91	Alonso, P	NYM	1B	161	597	103	155	30	2	53	120	72	183	1	0	0.26	0.358	0.583	0.941
91	Goldschmidt, P	STL	1B	161	597	97	155	25	1	34	97	78	166	3	1	0.26	0.346	0.476	0.821
93	Cabrera, A	WSH	3B	131	447	69	116	25	1	18	91	57	103	4	0	0.26	0.342	0.441	0.783
94	Walker, C	ARI	1B	152	529	86	137	26	1	29	73	67	155	8	1	0.259	0.348	0.476	0.825
95	Donaldson, J	ATL	3B	155	549	96	142	33	0	37	94	100	155	4	2	0.259	0.379	0.521	0.9
96	Pillar, K	SF	CF	161	611	83	158	37	3	21	88	18	89	14	5	0.259	0.287	0.432	0.719
97	Conforto, M	NYM	RF	151	549	90	141	29	1	33	92	84	149	7	2	0.257	0.363	0.494	0.856
98	Machado, M	SD	SS	156	587	81	150	21	2	32	85	65	128	5	3	0.256	0.334	0.462	0.796
99	Ramirez, J	CLE	3B	129	482	68	123	33	3	23	83	52	74	24	4	0.255	0.327	0.479	0.806
100	Robles, V	WSH	CF	155	546	86	139	33	3	17	65	35	140	28	9	0.255	0.326	0.419	0.745
101	Moustakas, M	MIL	2B	143	523	80	133	30	1	35	87	53	98	3	0	0.254	0.329	0.516	0.845
102	Adames, W	TB	SS	152	531	69	135	25	1	20	52	46	153	4	2	0.254	0.317	0.418	0.735
103	Longoria, E	SF	3B	129	453	59	115	19	2	20	69	43	112	3	1	0.254	0.325	0.437	0.762
104	Ahmed, N	ARI	SS	158	556	79	141	33	6	19	82	52	113	8	2	0.254	0.316	0.437	0.753
105	Santana, D	SEA	LF	121	451	63	114	20	1	21	69	50	164	8	3	0.253	0.329	0.441	0.77
106	Sanchez, Y	CWS	2B	149	496	59	125	20	4	2	43	44	117	5	4	0.252	0.318	0.321	0.638
107	Kepler, M	MIN	RF	134	524	98	132	32	0	36	90	60	99	1	5	0.252	0.336	0.519	0.855
108	Heyward, J	CHC	RF	147	513	78	129	20	4	21	62	68	110	8	3	0.251	0.343	0.429	0.772
109	Swanson, D	ATL	SS	127	483	77	121	26	3	17	65	51	124	10	5	0.251	0.325	0.422	0.748
110	Muncy, M	LAD	1B	141	487	101	122	22	1	35	98	90	149	4	1	0.251	0.374	0.515	0.889
111	Gardner, B	NYY	CF	141	491	86	123	26	7	28	74	52	108	10	2	0.251	0.325	0.503	0.829
112	McMahon, R	COL	2B	141	480	70	120	22	1	24	83	56	160	5	1	0.25	0.329	0.45	0.779
113	Schwarber, K	CHC	LF	155	529	82	132	29	3	38	92	70	156	2	3	0.25	0.339	0.531	0.871
114	Reyes, F	CLE	RF	150	494	69	123	19	0	37	81	47	156	0	0	0.249	0.31	0.512	0.822
115	Pederson, J	LAD	LF	149	450	83	112	16	3	36	74	50	111	1	1	0.249	0.339	0.538	0.876
116	Chapman, M	OAK	3B	156	583	102	145	36	3	36	91	73	147	1	1	0.249	0.342	0.506	0.848
117	Grandal, Y	MIL	C	153	513	79	126	26	2	28	77	109	139	5	1	0.246	0.38	0.468	0.848
118	Kipnis, J	CLE	2B	121	458	52	112	23	1	17	65	40	88	7	2	0.245	0.304	0.41	0.715
119	Pujols, A	LAA	1B	131	491	55	120	22	0	23	93	43	68	3	0	0.244	0.305	0.43	0.734
120	Nunez, R	BAL	3B	151	541	72	132	24	0	31	90	44	143	1	1	0.244	0.311	0.46	0.771
121	Ozuna, M	STL	LF	130	485	80	117	23	1	29	89	62	114	12	2	0.241	0.328	0.472	0.8
122	Fowler, D	STL	RF	150	487	69	116	24	1	19	67	74	142	8	5	0.238	0.346	0.409	0.754
123	Belt, B	SF	1B	156	526	76	123	32	3	17	57	83	127	4	3	0.234	0.339	0.403	0.742
124	DeJong, P	STL	SS	159	583	97	136	31	1	30	78	62	149	9	5	0.233	0.318	0.444	0.762
125	Grichuk, R	TOR	CF	151	586	75	136	29	5	31	80	35	163	2	1	0.232	0.28	0.457	0.738
126	Calhoun, K	LAA	RF	152	552	92	128	29	1	33	74	70	162	4	1	0.232	0.325	0.467	0.792
127	Crawford, B	SF	SS	147	500	58	114	24	2	11	59	53	117	3	2	0.228	0.304	0.35	0.654
128	Smith, M	SEA	CF	134	510	70	116	19	9	6	37	42	141	46	9	0.227	0.3	0.335	0.635
129	Hoskins, R	PHI	1B	160	570	86	129	33	5	29	85	116	173	2	2	0.226	0.364	0.454	0.819
130	Bradley Jr., J	BOS	CF	147	494	69	111	28	3	21	62	56	155	8	6	0.225	0.317	0.421	0.738
131	Arcia, O	MIL	SS	152	494	51	110	16	1	15	59	43	109	8	5	0.223	0.283	0.35	0.633
132	Davis, K	OAK	LF	133	481	61	106	11	0	23	73	47	146	0	0	0.22	0.293	0.387	0.679
133	Profar, J	OAK	2B	139	459	65	100	24	2	20	67	48	75	9	1	0.218	0.301	0.41	0.711
134	Vogelbach, D	SEA	1B	144	462	73	96	17	0	30	76	92	149	0	0	0.208	0.341	0.439	0.78
135	Odor, R	TEX	2B	145	522	77	107	30	1	30	93	52	178	11	9	0.205	0.283	0.439	0.721